DIS_LOSS_REAL: 1.1820868254, DIS_LOSS_FAKE: 0.1416596472, TOTAL: 0.6618732362855, GEN_LOSS_BATCH: 2.2692575455
DIS_LOSS_REAL: 1.2936463356, DIS_LOSS_FAKE: 0.149933815, TOTAL: 0.721790075301, GEN_LOSS_BATCH: 2.2353150845
DIS_LOSS_REAL: 1.238668561, DIS_LOSS_FAKE: 0.1435900033, TOTAL: 0.691129282141, GEN_LOSS_BATCH: 2.2664337158
DIS_LOSS_REAL: 1.4261293411, DIS_LOSS_FAKE: 0.1570658386, TOTAL: 0.7915975898625001, GEN_LOSS_BATCH: 2.3066484928
DIS_LOSS_REAL: 1.2094628811, DIS_LOSS_FAKE: 0.1373904347, TOTAL: 0.673426657894, GEN_LOSS_BATCH: 2.2988166809
DIS_LOSS_REAL: 1.5384235382, DIS_LOSS_FAKE: 0.1401604563, TOTAL: 0.839291997254, GEN_LOSS_BATCH: 2.3353705406
DIS_LOSS_REAL: 2.0517473221, DIS_LOSS_FAKE: 0.052163586, TOTAL: 1.0519554540415, GEN_LOSS_BATCH: 3.3016052246
DIS_LOSS_REAL: 1.4540575743, DIS_LOSS_FAKE: 0.1483235955, TOTAL: 0.801190584886, GEN_LOSS_BATCH: 2.2147288322
DIS_LOSS_REAL: 1.4444901943, DIS_LOSS_FAKE: 0.1347968876, TOTAL: 0.7896435409605, GEN_LOSS_BATCH: 2.2761793137
DIS_LOSS_REAL: 2.3967504501, DIS_LOSS_FAKE: 0.0293805376, TOTAL: 1.2130654938669998, GEN_LOSS_BATCH: 4.026140213
DIS_LOSS_REAL: 0.9422112703, DIS_LOSS_FAKE: 0.2131505311, TOTAL: 0.577680900716, GEN_LOSS_BATCH: 1.8319398165
DIS_LOSS_REAL: 1.1980278492, DIS_LOSS_FAKE: 0.152385205, TOTAL: 0.6752065270985, GEN_LOSS_BATCH: 2.1460802555
DIS_LOSS_REAL: 1.4490398169, DIS_LOSS_FAKE: 0.1608781517, TOTAL: 0.804958984278, GEN_LOSS_BATCH: 2.0910725594
DIS_LOSS_REAL: 1.6036528349, DIS_LOSS_FAKE: 0.126065433, TOTAL: 0.864859133946, GEN_LOSS_BATCH: 2.4330904484
DIS_LOSS_REAL: 1.2102432251, DIS_LOSS_FAKE: 0.1675135195, TOTAL: 0.688878372299, GEN_LOSS_BATCH: 2.0847086906
DIS_LOSS_REAL: 1.6381270885, DIS_LOSS_FAKE: 0.0941799134, TOTAL: 0.8661535009735001, GEN_LOSS_BATCH: 2.6703503132
DIS_LOSS_REAL: 1.5359055996, DIS_LOSS_FAKE: 0.1231700331, TOTAL: 0.8295378163470001, GEN_LOSS_BATCH: 2.4443972111
DIS_LOSS_REAL: 1.8847808838, DIS_LOSS_FAKE: 0.0852086842, TOTAL: 0.9849947839945, GEN_LOSS_BATCH: 2.7932155132
DIS_LOSS_REAL: 1.5713397264, DIS_LOSS_FAKE: 0.0948004574, TOTAL: 0.8330700919240001, GEN_LOSS_BATCH: 2.7458863258
DIS_LOSS_REAL: 1.1982408762, DIS_LOSS_FAKE: 0.1679996252, TOTAL: 0.683120250699, GEN_LOSS_BATCH: 2.1778907776
DIS_LOSS_REAL: 1.0885899067, DIS_LOSS_FAKE: 0.1813486218, TOTAL: 0.6349692642465, GEN_LOSS_BATCH: 1.9677292109
DIS_LOSS_REAL: 1.4323270321, DIS_LOSS_FAKE: 0.1212851107, TOTAL: 0.7768060713945, GEN_LOSS_BATCH: 2.4472532272
DIS_LOSS_REAL: 1.7433121204, DIS_LOSS_FAKE: 0.0957318097, TOTAL: 0.919521965069, GEN_LOSS_BATCH: 2.7111566067
DIS_LOSS_REAL: 1.2735307217, DIS_LOSS_FAKE: 0.1893586516, TOTAL: 0.731444686632, GEN_LOSS_BATCH: 1.9501984119
DIS_LOSS_REAL: 1.2268211842, DIS_LOSS_FAKE: 0.1860257983, TOTAL: 0.706423491229, GEN_LOSS_BATCH: 1.9780679941
DIS_LOSS_REAL: 1.376434803, DIS_LOSS_FAKE: 0.1427850425, TOTAL: 0.7596099227544999, GEN_LOSS_BATCH: 2.2288694382
